GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
1.0,20.0,2,2.0,4.0,2.0,3.0,6.0,3.0,5.0,소천지,126.5912648,33.23907593
1.0,20.0,11,2.0,2.0,1.0,2.0,6.0,5.0,5.0,알맞은시간,126.7691048,33.30651561
1.0,20.0,7,3.0,1.0,1.0,3.0,1.0,6.0,4.0,애월온기,126.3112322,33.46011568
1.0,20.0,21,2.0,5.0,1.0,3.0,4.0,3.0,4.0,산도롱맨도롱 제주공항점,126.5043929,33.51320632
1.0,20.0,15,1.0,2.0,7.0,2.0,1.0,7.0,4.0,금오름,126.3058389,33.35457233
1.0,20.0,12,4.0,2.0,5.0,4.0,4.0,7.0,3.0,콜체스카페,126.3277076,33.43993483
1.0,50.0,8,4.0,2.0,2.0,2.0,3.0,6.0,5.0,교래자연휴양림,126.6649618,33.44036149
0.0,40.0,27,4.0,7.0,3.0,5.0,5.0,6.0,4.0,준반점,126.6692552,33.54246836
0.0,30.0,8,7.0,4.0,1.0,2.0,2.0,5.0,5.0,시루애월,126.3918247,33.4427272
1.0,40.0,2,2.0,2.0,2.0,1.0,6.0,4.0,4.0,제주아트센터,126.5155393,33.47513108
0.0,30.0,14,2.0,2.0,2.0,3.0,3.0,4.0,5.0,용두암,126.5119571,33.51611062
1.0,40.0,10,2.0,1.0,2.0,3.0,1.0,4.0,5.0,보래드베이커스,126.5905662,33.24439868
1.0,30.0,8,4.0,3.0,5.0,2.0,6.0,6.0,5.0,어리목매표소,126.494353,33.39221465
1.0,20.0,3,2.0,1.0,7.0,7.0,1.0,7.0,2.0,연돈,126.4071581,33.25889529
0.0,40.0,7,1.0,3.0,1.0,3.0,4.0,5.0,5.0,꽃지해수욕장,126.3360205,36.49718208
1.0,20.0,15,2.0,2.0,5.0,3.0,7.0,4.0,4.0,안녕하샌,126.79419,33.55638738
0.0,30.0,20,4.0,2.0,3.0,5.0,3.0,3.0,4.0,백약이오름,126.7897582,33.43680941
1.0,20.0,8,3.0,3.0,2.0,2.0,6.0,2.0,4.0,키위티24제주남원점,,
1.0,60.0,7,7.0,5.0,5.0,7.0,6.0,1.0,4.0,독일마을,128.0377961,34.8008945
1.0,20.0,6,2.0,4.0,7.0,3.0,6.0,3.0,5.0,여행가게,126.7444995,33.28615372
1.0,20.0,5,2.0,2.0,4.0,4.0,2.0,6.0,3.0,그린블리스,126.8024039,33.3060086
1.0,40.0,4,3.0,6.0,6.0,2.0,6.0,6.0,4.0,제주i,126.9356377,33.46371901
1.0,30.0,18,4.0,1.0,2.0,2.0,3.0,6.0,5.0,바다봄,128.4241206,34.84216692
1.0,30.0,4,1.0,1.0,1.0,5.0,1.0,7.0,5.0,제주동문재래야시장,126.5260174,33.51158875
1.0,30.0,23,2.0,2.0,6.0,2.0,1.0,7.0,5.0,여수장도근린공원,127.6651112,34.74476287
1.0,30.0,17,2.0,1.0,3.0,1.0,4.0,2.0,4.0,마루나키친,126.195786,33.36194147
1.0,30.0,2,4.0,1.0,4.0,1.0,2.0,7.0,5.0,아쿠아플라넷 제주,126.9278459,33.43306804
1.0,20.0,7,3.0,2.0,4.0,4.0,4.0,5.0,5.0,랜디스도넛 제주애월점,126.3114282,33.46117162
1.0,20.0,7,2.0,2.0,2.0,4.0,6.0,4.0,3.0,사계카페,126.6730469,33.54400393
1.0,20.0,15,2.0,2.0,4.0,4.0,3.0,4.0,4.0,조커피랩,126.4873788,37.74762505
1.0,20.0,4,4.0,2.0,4.0,2.0,7.0,7.0,5.0,올래국수 본점,126.4972672,33.49152862
1.0,20.0,12,1.0,1.0,6.0,4.0,1.0,7.0,5.0,성산일출봉,126.9405375,33.45913497
1.0,30.0,20,2.0,2.0,5.0,3.0,5.0,5.0,5.0,"탑동 해안산책로(탑동광장), 산지천",,
0.0,30.0,25,1.0,4.0,6.0,5.0,6.0,6.0,5.0,송당퐁닭송당퐁당,,
