GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM
1.0,20.0,2,2.0,4.0,2.0,3.0,6.0,3.0,5.0,소천지
1.0,20.0,11,2.0,2.0,1.0,2.0,6.0,5.0,5.0,알맞은시간
1.0,20.0,7,3.0,1.0,1.0,3.0,1.0,6.0,4.0,애월온기
1.0,20.0,21,2.0,5.0,1.0,3.0,4.0,3.0,4.0,산도롱맨도롱 제주공항점
1.0,20.0,15,1.0,2.0,7.0,2.0,1.0,7.0,4.0,금오름
1.0,20.0,12,4.0,2.0,5.0,4.0,4.0,7.0,3.0,콜체스카페
1.0,50.0,8,4.0,2.0,2.0,2.0,3.0,6.0,5.0,교래자연휴양림
0.0,40.0,27,4.0,7.0,3.0,5.0,5.0,6.0,4.0,준반점
0.0,30.0,8,7.0,4.0,1.0,2.0,2.0,5.0,5.0,시루애월
1.0,40.0,2,2.0,2.0,2.0,1.0,6.0,4.0,4.0,제주아트센터
0.0,30.0,14,2.0,2.0,2.0,3.0,3.0,4.0,5.0,용두암
1.0,40.0,10,2.0,1.0,2.0,3.0,1.0,4.0,5.0,보래드베이커스
1.0,30.0,8,4.0,3.0,5.0,2.0,6.0,6.0,5.0,어리목매표소
1.0,20.0,3,2.0,1.0,7.0,7.0,1.0,7.0,2.0,연돈
0.0,40.0,7,1.0,3.0,1.0,3.0,4.0,5.0,5.0,꽃지해수욕장
1.0,20.0,15,2.0,2.0,5.0,3.0,7.0,4.0,4.0,안녕하샌
0.0,30.0,20,4.0,2.0,3.0,5.0,3.0,3.0,4.0,백약이오름
1.0,60.0,7,7.0,5.0,5.0,7.0,6.0,1.0,4.0,독일마을
1.0,20.0,6,2.0,4.0,7.0,3.0,6.0,3.0,5.0,여행가게
1.0,20.0,5,2.0,2.0,4.0,4.0,2.0,6.0,3.0,그린블리스
1.0,40.0,4,3.0,6.0,6.0,2.0,6.0,6.0,4.0,제주i
1.0,30.0,18,4.0,1.0,2.0,2.0,3.0,6.0,5.0,바다봄
1.0,30.0,4,1.0,1.0,1.0,5.0,1.0,7.0,5.0,제주동문재래야시장
1.0,30.0,23,2.0,2.0,6.0,2.0,1.0,7.0,5.0,여수장도근린공원
1.0,30.0,17,2.0,1.0,3.0,1.0,4.0,2.0,4.0,마루나키친
1.0,30.0,2,4.0,1.0,4.0,1.0,2.0,7.0,5.0,아쿠아플라넷 제주
1.0,20.0,7,3.0,2.0,4.0,4.0,4.0,5.0,5.0,랜디스도넛 제주애월점
1.0,20.0,7,2.0,2.0,2.0,4.0,6.0,4.0,3.0,사계카페
1.0,20.0,15,2.0,2.0,4.0,4.0,3.0,4.0,4.0,조커피랩
1.0,20.0,4,4.0,2.0,4.0,2.0,7.0,7.0,5.0,올래국수 본점
1.0,20.0,12,1.0,1.0,6.0,4.0,1.0,7.0,5.0,성산일출봉
0.0,40.0,43,1.0,3.0,3.0,3.0,5.0,3.0,4.0,돌담통닭
1.0,40.0,9,1.0,1.0,1.0,1.0,7.0,7.0,4.0,나그네쉼터 어시장수산식당
1.0,20.0,19,1.0,1.0,4.0,1.0,4.0,4.0,4.0,제주공항렌트카 본사
1.0,40.0,13,4.0,2.0,4.0,4.0,1.0,7.0,4.0,올레길 7코스(서귀포-월평 올레)
0.0,40.0,24,3.0,2.0,5.0,3.0,2.0,6.0,4.0,유동커피
1.0,30.0,7,4.0,2.0,2.0,2.0,6.0,7.0,5.0,봉기네깡통구이
1.0,20.0,9,2.0,3.0,3.0,2.0,5.0,4.0,5.0,소심한책방
1.0,20.0,33,2.0,3.0,5.0,3.0,2.0,6.0,5.0,무지개렌트카
1.0,30.0,6,4.0,4.0,6.0,4.0,6.0,7.0,5.0,나인브로스커피
1.0,30.0,5,4.0,4.0,3.0,3.0,4.0,6.0,5.0,제주동문재래시장
0.0,30.0,10,1.0,1.0,7.0,1.0,7.0,2.0,5.0,최남단 해안로
1.0,30.0,13,1.0,2.0,6.0,3.0,4.0,4.0,5.0,새별오름
1.0,20.0,10,4.0,3.0,4.0,2.0,6.0,7.0,3.0,월미테마파크
0.0,40.0,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,을왕리해수욕장
0.0,30.0,8,4.0,1.0,4.0,5.0,5.0,4.0,5.0,다담아해물뚝배기
1.0,30.0,47,4.0,3.0,2.0,4.0,6.0,1.0,4.0,삼화석유 천마주유소
1.0,20.0,17,2.0,4.0,4.0,5.0,6.0,6.0,5.0,우도해광식당
1.0,60.0,11,3.0,2.0,3.0,3.0,2.0,6.0,3.0,비자림
0.0,30.0,12,3.0,3.0,3.0,3.0,5.0,3.0,5.0,연과자점
1.0,40.0,6,3.0,3.0,2.0,2.0,3.0,2.0,3.0,너븐
1.0,30.0,17,5.0,2.0,5.0,4.0,5.0,1.0,5.0,카페청굴물
1.0,20.0,6,4.0,2.0,5.0,6.0,5.0,5.0,4.0,신화역사공원
0.0,30.0,8,2.0,3.0,3.0,4.0,3.0,6.0,4.0,원앤온리
1.0,20.0,18,4.0,2.0,3.0,2.0,6.0,5.0,5.0,김녕해수욕장
1.0,20.0,16,6.0,1.0,6.0,4.0,6.0,7.0,5.0,미쿠니
